"ID","NES_abs"
"THAP1",3.6156761328711
"TCF3",3.56299445415423
"RFX1",3.2231458802796
"RREB1",2.96895004780933
"ESRRA",2.79160793379379
"SRF",2.68510478851391
"YY1",2.57633166766066
"ATF4",2.45120671811365
"EGR4",2.34586985926332
"DDIT3",2.29996579735467
"ESR1",2.26978444820608
"REST",2.21079258165228
"SOX9",2.15131440383526
"NFIL3",2.11143157696651
"PAX6",2.03527515444919
"TFCP2",2.02513208370295
"MYOD1",1.98616769603445
"FOXF2",1.9553407085289
"HSF2",1.95259205001556
"ATF1",1.94176951249341
"GATA1",1.92578610502922
"ZEB1",1.9183790905656
"BACH2",1.90506416439576
"ZIC3",1.85275711521576
"MYOG",1.84280574480192
"HSF1",1.81264502415431
"STAT5A",1.80441077497638
"TFAP2C",1.77106220996238
"EGR2",1.71980718955681
"LEF1",1.69702316126756
"HAND1",1.66816293291613
"ELF2",1.65590238113054
"FOXM1",1.63335134318773
"SP1",1.61702108814805
"EN1",1.6083217534478
"TFDP1",1.60152190919883
"AHR",1.59741953019436
"DBP",1.57787653414091
"CUX1",1.566982162898
"GATA4",1.56514978081906
"RELA",1.56272483721479
"CDX2",1.54080543918471
"NFKB1",1.52534850795961
"NR3C1",1.5068167971694
"NR6A1",1.49854747659201
"RORA",1.49519250699417
"TEF",1.49384775240256
"JUN",1.46929064063713
"NHLH1",1.4439052031411
"ATF3",1.42645246568769
"GFI1",1.39811661855258
"GABPA",1.38657136839915
"SPI1",1.37445510659232
"ETV4",1.3669070433011
"GABPB2",1.36626187493306
"HLF",1.36530383407227
"TAL1",1.36124740798502
"PITX2",1.35454180373433
"GATA6",1.32600097284085
"MAFG",1.32430545663636
"SREBF1",1.31672350835597
"EGR3",1.31152978337593
"PTF1A",1.29032189687381
"EGR1",1.27277299036505
"PPARG",1.25858554417314
"ZIC1",1.24295303793329
"VDR",1.23954250382283
"PAX2",1.2308356813017
"E4F1",1.21440993549669
"NR1H4",1.20749313130044
"FOXO1",1.19217921315168
"MEOX2",1.19048287786751
"FOXI1",1.14414681211446
"MEF2A",1.13947019392146
"SOX5",1.13938787617035
"MAZ",1.11679670239877
"CREB1",1.10924121256949
"SP3",1.07687788451247
"FOXN1",1.07361941548334
"PAX5",1.06102260632781
"E2F1",1.05208503613277
"STAT6",1.0429527739699
"PAX8",1.04137014202022
"MTF1",1.00905445871234
"TLX2",1.00734556837651
"KLF12",0.994250716273105
"ARNT",0.990496069301629
"UBP1",0.984281509456688
"RXRA",0.970852994750347
"LHX3",0.968326291049165
"ETV7",0.964179043700724
"STAT3",0.933984103422349
"ETS2",0.918174459094449
"PAX4",0.900329717080124
"MYCN",0.888781476922676
"PGR",0.88619779351846
"AR",0.884965848481711
"MAX",0.883394015436736
"TWIST1",0.857810771880738
"ATF2",0.829788685937261
"SPZ1",0.828635131945114
"SMAD4",0.825725204494555
"ONECUT1",0.816313315336943
"PCBP1",0.810549135173876
"TCF12",0.809104680178766
"MEIS1",0.808442193067904
"NFE2L1",0.788431365785206
"TCF4",0.781903009571785
"RXRB",0.781716388266716
"MYC",0.773747757137057
"SMAD3",0.743275363075803
"EBF2",0.741827348400895
"NFE2",0.729297493126493
"POU1F1",0.720889107585069
"ETS1",0.720710866828937
"HIF1A",0.719650094881118
"FOXD1",0.714634512354158
"GATA3",0.663255357281237
"MSX1",0.646976072483936
"FOXJ1",0.646425936538474
"HMGA1",0.644099104162293
"FOXQ1",0.640238484000877
"REL",0.638086441420367
"PDX1",0.633369903416059
"HNF1A",0.62968865441616
"NKX2-1",0.614315305470645
"FOXC1",0.596575056639928
"CEBPG",0.590908227793773
"CDC5L",0.590862174006783
"FOXA2",0.582182082544272
"RUNX2",0.57922270379706
"TFAP4",0.548266423253487
"POU2F1",0.522285331980817
"STAT4",0.503419245469489
"FOXO3",0.496601547044203
"TBP",0.471912828481101
"NRF1",0.455311139616453
"ELK1",0.451326587725684
"POU3F2",0.405385548022026
"BACH1",0.402117587846052
"STAT1",0.35632291580876
"E2F4",0.327972066963318
"TFDP2",0.307491533876029
"ZIC2",0.281749240508499
"VSX1",0.266007283824599
"MECOM",0.26302761840963
"TP53",0.190969545420472
"POU6F1",0.163536953761016
"ATF6",0.141352769714858
"HOXA5",0.124197409133447
"NANOG",0.0975479247053376
"TP63",0.0962314540673535
"PBX1",0.0908085699131002
"FOXL1",0.0847725184448858
"FOXJ2",0.0645414311351816
"FOXA1",0.0615558172660963
"CEBPA",0.0601578202658497
"GABPB1",0.0546197937757744
"GATA2",0.0103524893787592
"GTF3A",0.00736797835395505
"MYB",0.00354337518810833
"CRX",-0.0235993254776045
"NR2F2",-0.0266295204171298
"TFAP2A",-0.065787611889933
"FOXO4",-0.0719822654127717
"PAX3",-0.0843119719644198
"GCM1",-0.162200764818197
"HOXA9",-0.173846117971089
"POU3F1",-0.217533939547751
"TEAD1",-0.221596164223851
"NR1H3",-0.223435617126307
"PPARA",-0.264716355761958
"IRF1",-0.277319774892666
"SMAD1",-0.3020636393961
"MAF",-0.327841993217734
"ZNF384",-0.330301282470738
"IRF5",-0.338751549849583
"PRRX2",-0.358688412138771
"HOXA4",-0.605402840233495
"TP73",-0.636412409866543
"ZHX2",-0.637019931185902
"HNF4A",-0.779628180333508
"RUNX1",-0.820082293548274
"BPTF",-0.911679229146953
"CEBPB",-1.00708470113107
"IRF2",-1.01574926759882
"STAT5B",-1.1081973310961
"CEBPD",-1.13180061871844
"RUNX3",-1.25519872339547
"IRF7",-1.27452178829586
"ELF1",-1.35733129190589
"NFE2L2",-1.42271807578915
"FOXD3",-1.89012962181326
"XBP1",-2.24808314529803
"STAT2",-2.26258534704954
"IRF8",-2.56796267467106
